# mgf_spectrum_id,mgf_inchikey,mgf_smiles,mibig_id,mibig_name,mibig_inchi,mibig_smiles
CCMSLIB00000001552,USXIYWCPCGVOKF-NOENWEJRSA-N,C[C@H]1[C@H](CCCC(C)(Cl)Cl)OC(=O)C2=CSC(=N2)[C@@H](OC(C)=O)C(C)(C)OC(=O)C2=CSC(=N2)[C@@H](OC1=O)C(C)(C)O,BGC0001000,Hectochlorin,USXIYWCPCGVOKF-NOENWEJRSA-N,C[C@H]1[C@H](CCCC(C)(Cl)Cl)OC(=O)C2=CSC(=N2)[C@@H](OC(C)=O)C(C)(C)OC(=O)C2=CSC(=N2)[C@@H](OC1=O)C(C)(C)O
CCMSLIB00000075308,SBUJHOSQTJFQJX-NOAMYHISSA-N,O([C@@H]2[C@@H](O)[C@H](O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](N)C[C@H]2N)[C@H]3O[C@@H]([C@@H](O)[C@H](N)[C@H]3O)CO,BGC0000705,kanamycin,SBUJHOSQTJFQJX-NOAMYHISSA-N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N
CCMSLIB00000075308,SBUJHOSQTJFQJX-NOAMYHISSA-N,O([C@@H]2[C@@H](O)[C@H](O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](N)C[C@H]2N)[C@H]3O[C@@H]([C@@H](O)[C@H](N)[C@H]3O)CO,BGC0000706,kanamycin,SBUJHOSQTJFQJX-NOAMYHISSA-N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N
CCMSLIB00000075309,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,BGC0000717,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000075309,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,BGC0000718,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000075309,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,BGC0000724,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000075310,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,BGC0000717,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000075310,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,BGC0000718,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000075310,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,BGC0000724,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000075311,MYPYJXKWCTUITO-LYRMYLQWSA-N,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2Oc3c4cc5cc3Oc6ccc(cc6Cl)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7c8ccc(c(c8)-c9c(cc(cc9O)O)[C@H](NC(=O)[C@H]([C@@H](c1ccc(c(c1)Cl)O4)O)NC7=O)C(=O)O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)CO)O)O)(C)N)O,BGC0000455,vancomycin,MYPYJXKWCTUITO-LYRMYLQWSA-N,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
CCMSLIB00000075312,MYPYJXKWCTUITO-LYRMYLQWSA-N,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2Oc3c4cc5cc3Oc6ccc(cc6Cl)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7c8ccc(c(c8)-c9c(cc(cc9O)O)[C@H](NC(=O)[C@H]([C@@H](c1ccc(c(c1)Cl)O4)O)NC7=O)C(=O)O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)CO)O)O)(C)N)O,BGC0000455,vancomycin,MYPYJXKWCTUITO-LYRMYLQWSA-N,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
CCMSLIB00000075313,UBQYURCVBFRUQT-UHFFFAOYSA-N,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,BGC0000940,Desferrioxamin B,UBQYURCVBFRUQT-UHFFFAOYSA-N,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
CCMSLIB00000075313,UBQYURCVBFRUQT-UHFFFAOYSA-N,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,BGC0000941,Desferrioxamin B,UBQYURCVBFRUQT-UHFFFAOYSA-N,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
CCMSLIB00000075313,UBQYURCVBFRUQT-UHFFFAOYSA-N,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,BGC0001453,desferrioxamine,UBQYURCVBFRUQT-UHFFFAOYSA-N,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
CCMSLIB00000075320,KYHUYMLIVQFXRI-SJPGYWQQSA-N,O=C(N1CCC[C@H]1C(=O)N(C)[C@@H](C(=O)N[C@@H]3C(=O)N[C@@H]([C@@H](O)CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C(=O)O[C@@H]3C)Cc4ccc(OC)cc4)CC(C)C)C)C(C)C)[C@@H](C)CC)CC(C)C)[C@@H](O)C,BGC0000985,Didemnin B,KYHUYMLIVQFXRI-XYUQHQMCSA-N,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]3CCCN3C(=O)C(C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O
CCMSLIB00000075321,KYHUYMLIVQFXRI-SJPGYWQQSA-N,O=C(N1CCC[C@H]1C(=O)N(C)[C@@H](C(=O)N[C@@H]3C(=O)N[C@@H]([C@@H](O)CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C(=O)O[C@@H]3C)Cc4ccc(OC)cc4)CC(C)C)C)C(C)C)[C@@H](C)CC)CC(C)C)[C@@H](O)C,BGC0000985,Didemnin B,KYHUYMLIVQFXRI-XYUQHQMCSA-N,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]3CCCN3C(=O)C(C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O
CCMSLIB00000075322,KYHUYMLIVQFXRI-SJPGYWQQSA-N,O=C(N1CCC[C@H]1C(=O)N(C)[C@@H](C(=O)N[C@@H]3C(=O)N[C@@H]([C@@H](O)CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C(=O)O[C@@H]3C)Cc4ccc(OC)cc4)CC(C)C)C)C(C)C)[C@@H](C)CC)CC(C)C)[C@@H](O)C,BGC0000985,Didemnin B,KYHUYMLIVQFXRI-XYUQHQMCSA-N,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]3CCCN3C(=O)C(C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O
CCMSLIB00000075323,CKVQLVKUIHIXIC-WSWSWPEESA-N,O=C(N1CCC[C@H]1C(=O)N(C)C(C(=O)N[C@@H]2C(=O)N[C@@H]([C@@H](O)CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N4[C@H](C(=O)N(C)[C@H](C(=O)O[C@@H]2C)Cc3ccc(OC)cc3)CCC4)CC(C)C)C)C(C)C)C(C)C)CC(C)C)[C@@H](O)C,BGC0000985,Nordidemnin B,CKVQLVKUIHIXIC-WSBLOWKLSA-N,C[C@@H]1[C@@H](C(=O)N[C@@H]([C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O1)CC3=CC=C(C=C3)OC)C)CC(C)C)C)C(C)C)O)C(C)C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]4CCCN4C(=O)[C@H](C)O
CCMSLIB00000075324,CKVQLVKUIHIXIC-WSWSWPEESA-N,O=C(N1CCC[C@H]1C(=O)N(C)C(C(=O)N[C@@H]2C(=O)N[C@@H]([C@@H](O)CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N4[C@H](C(=O)N(C)[C@H](C(=O)O[C@@H]2C)Cc3ccc(OC)cc3)CCC4)CC(C)C)C)C(C)C)C(C)C)CC(C)C)[C@@H](O)C,BGC0000985,Nordidemnin B,CKVQLVKUIHIXIC-WSBLOWKLSA-N,C[C@@H]1[C@@H](C(=O)N[C@@H]([C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O1)CC3=CC=C(C=C3)OC)C)CC(C)C)C)C(C)C)O)C(C)C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]4CCCN4C(=O)[C@H](C)O
CCMSLIB00000075325,CKVQLVKUIHIXIC-WSWSWPEESA-N,O=C(N1CCC[C@H]1C(=O)N(C)C(C(=O)N[C@@H]2C(=O)N[C@@H]([C@@H](O)CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N4[C@H](C(=O)N(C)[C@H](C(=O)O[C@@H]2C)Cc3ccc(OC)cc3)CCC4)CC(C)C)C)C(C)C)C(C)C)CC(C)C)[C@@H](O)C,BGC0000985,Nordidemnin B,CKVQLVKUIHIXIC-WSBLOWKLSA-N,C[C@@H]1[C@@H](C(=O)N[C@@H]([C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O1)CC3=CC=C(C=C3)OC)C)CC(C)C)C)C(C)C)O)C(C)C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]4CCCN4C(=O)[C@H](C)O
