compound_name	class:subclass	as_classes	smiles	inchi_key	cf_kingdom	cf_superclass	cf_class	cf_subclass	cf_direct_parent	npc_class	npc_superclass	npc_pathway	npc_isglycoside
BGC0000014_ambruticin	Polyketide:	T1PKS,NRPS-like	CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C	TYIXBSJXUFTELJ-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	C-glycosyl compounds	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000016_amphotericin B	Other:		C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O	APKFDSVGJQXUKY-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Polyene macrolides	Macrolides	Polyketides	1
BGC0000017_anatoxin-a	Polyketide:Other,Alkaloid:	T1PKS	CC(=O)C1=CCC[C@@H]2CC[C@H]1N2	SGNXVBOIDPPRJJ-UHFFFAOYSA-N	Organic compounds	Alkaloids and derivatives	Anatoxins		Anatoxins	Tropane alkaloids	Ornithine alkaloids	Alkaloids	0
BGC0000017_homoanatoxin-a	Polyketide:Other,Alkaloid:	T1PKS	CCC(=O)C1=CCC[C@@H]2CC[C@H]1N2	VVMQRZZXKNDPOT-UHFFFAOYSA-N	Organic compounds	Alkaloids and derivatives	Anatoxins		Anatoxins	Tropane alkaloids	Ornithine alkaloids	Alkaloids	0
BGC0000018_angolamycin	Polyketide:	T1PKS	CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC	KZXDKUWSAVUSKI-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Tylosins	Macrolides	Polyketides	1
BGC0000019_angolamycin	Polyketide:		CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC	KZXDKUWSAVUSKI-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Tylosins	Macrolides	Polyketides	1
BGC0000020_ansamitocin P-3	Polyketide:	T1PKS,NRPS-like	C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O	OPQNCARIZFLNLF-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolactams		Macrolactams	Ansa macrolides	Macrolides	Polyketides	0
BGC0000020_maytansine	Polyketide:	T1PKS,NRPS-like	C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)[C@H](C)N(C)C(=O)C)C)\C)OC)(NC(=O)O2)O	WKPWGQKGSOKKOO-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolactams		Macrolactams	Ansa macrolides	Macrolides	Polyketides	0
BGC0000021_apoptolidin	Polyketide:	T1PKS	COC[C@@H](C[C@H]1O[C@@](O)([C@H](O)[C@@H]2C[C@H](OC)[C@@H](O)CC\C=C(/C)\C=C\[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)[C@H](C)\C=C(/C)\C=C(/C)\C=C(C)\C(=O)O2)[C@H](C)[C@@H](O)[C@H]1C)O[C@H]1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@H](C)O1	WILMROCKORZEMQ-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Tylosins	Macrolides	Polyketides	1
BGC0000022_asperfuranone	Polyketide:	T1PKS	CCC(C)C=C(C)C=CC(=O)C1=C2CC(O)C(C)(O)C(=O)C2=CO1	ZNGSMORVYUMUDS-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Isobenzofurans		Isobenzofurans			Polyketides	0
BGC0000023_aurafuron A	Polyketide:Other	T1PKS	CC(C)C\C=C(/C)[C@H](O)[C@H](C)\C=C\C=C/[C@@H](O)CC1=C(C)C(=O)C(C)(O)O1	AQQYZHDRTDSOER-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	Fatty alcohols	Open-chain polyketides	Linear polyketides	Polyketides	1
BGC0000024_aureothin	Polyketide:Polyene	T1PKS	CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2	OGUMLESFFBGVOO-UHFFFAOYSA-N	Organic compounds	Benzenoids	Benzene and substituted derivatives	Nitrobenzenes	Nitrobenzenes	4-pyrone derivatives	Cyclic polyketides	Polyketides	0
BGC0000025_avermectin	Polyketide:		CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C	RRZXIRBKKLTSOM-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Avermectins	Macrolides	Polyketides	1
BGC0000026_avilamycin A	Saccharide:oligosaccharide	oligosaccharide,T1PKS,PKS-like	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)C1C([C@@]([C@H](O9)C)(C(=O)C)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C	XIRGHRXBGGPPKY-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Oligosaccharides	Orthosomycins	Saccharides	Carbohydrates	1
BGC0000026_avilamycin C	Saccharide:oligosaccharide	oligosaccharide,T1PKS,PKS-like	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)[C@H]1[C@H]([C@@]([C@H](O9)C)(C(C)O)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C	AEIFATUAVHHRBC-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Oligosaccharides	Orthosomycins	Saccharides	Carbohydrates	1
BGC0000027_ankaflavin	Polyketide:Other	T1PKS	CCCCCCCC(=O)C1C2CC3=C(COC(\C=C\C)=C3)C(=O)C2(C)OC1=O	AQTJNEHGKRUSLT-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Cyclohexenones	Azaphilones	Chromanes	Polyketides	0
BGC0000027_monascin	Polyketide:Other	T1PKS	[H]\C(C)=C(\[H])C1=CC2=C(CO1)C(=O)[C@]1(C)OC(=O)[C@H](C(=O)CCCCC)[C@@]1([H])C2	XXKNHBAFFJINCK-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Cyclohexenones	Azaphilones	Chromanes	Polyketides	0
BGC0000027_monascorubrin	Polyketide:Other	T1PKS	CCCCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C	IIPVSGPTPPURBD-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	Annonaceous acetogenins	Azaphilones	Chromanes	Polyketides	0
BGC0000027_rubropunctatine	Polyketide:Other	T1PKS	CCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C	SULYDLFVUNXAMP-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Cyclohexenones	Azaphilones	Chromanes	Polyketides	0
BGC0000028_bafilomycin B1	Polyketide:Macrolide	T1PKS	COC1\C=C\C=C(C)\CC(C)C(O)C(C)\C=C(/C)\C=C(OC)\C(=O)OC1C(C)C(O)C(C)C1(O)CC(OC(=O)\C=C\C(=O)NC2=C(O)CCC2=O)C(C)C(O1)C(C)C	KFUFLYSBMNNJTF-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Bafilomycins	Macrolides	Polyketides	1
BGC0000029_BE-14106	Polyketide:Other	T1PKS	CCC\C=C\CC1C\C=C\C=C(/C)\C=C\C=C/C(O)C(O)\C=C(/C)\C=C\C=C\C(=O)N1	ALYLZDHKQZUVDF-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolactams		Macrolactams	Macrolide lactams	Macrolides	Amino acids and Peptides; Polyketides	0
BGC0000030_bikaverin	Polyketide:	T1PKS	CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C4C(=C3O)C(=O)C=C(C4=O)OC)O)OC	ZOQMSOSJEWBMHP-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Benzopyrans	1-benzopyrans	Xanthones	Methyl xanthones; Naphthoquinones	Naphthalenes; Xanthones	Polyketides	0
BGC0000031_borrelidin	Polyketide:Macrolide	T1PKS	[H][C@]1(CCC[C@H]1C(O)=O)[C@]1([H])C\C=C\C=C(C#N)/[C@H](O)[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O1	OJCKRNPLOZHAOU-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues		Macrolides	Polyketides	0
BGC0000032_A23187	Polyketide:	T1PKS	[H][C@@](C)(C(=O)C1=CC=CN1)[C@@]1([H])O[C@@]2(CC[C@@H](C)[C@@]([H])(CC3=NC4=C(O3)C=CC(NC)=C4C(O)=O)O2)[C@H](C)C[C@H]1C	HIYAVKIYRIFSCZ-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Benzoxazoles		Benzoxazoles	Polyether ionophores	Polyethers	Polyketides	0
BGC0000033_calicheamicin	Polyketide:	T1PKS,oligosaccharide,PKS-like	CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@H]([C@@H]([C@H](OC2O[C@H]3C#C/C=C\C#C[C@]\4(CC(=O)C(=C3/C4=C\CSSSC)NC(=O)OC)O)C)NO[C@H]5C[C@@H]([C@@H]([C@H](O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)OC)O)I)C)O)O	HXCHCVDVKSCDHU-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Phenolic glycosides	Enediynes	Macrolides	Polyketides	1
BGC0000034_candicidin	Polyketide:	T1PKS,NRPS-like	CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O	OPGSFDUODIJJGF-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aminoglycosides	Polyene macrolides	Macrolides	Polyketides	1
BGC0000035_chalcomycin A	Polyketide:	T1PKS	CO[C@@H]1C[C@H](C)O[C@H](OC2C(C)CC(C)(O)C(=O)\C=C\C3OC3C(CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)C(C)OC(=O)\C=C\C2C)[C@H]1O	KLGADJPDTCIJLO-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Tylosins	Macrolides	Polyketides	1
BGC0000036_chlorothricin	Polyketide:Macrolide,Saccharide:oligosaccharide	PKS-like,T1PKS	C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C(Cl)=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O	HPWPAVYRWILWSZ-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Spirotetronate macrolides	Macrolides	Polyketides	1
BGC0000036_deschlorothricin	Polyketide:Macrolide,Saccharide:oligosaccharide	PKS-like,T1PKS	C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O	KJMSPBOLTGEOGL-UHFFFAOYSA-N						Spirotetronate macrolides	Macrolides	Polyketides	1
BGC0000037_cichorine	Polyketide:	T1PKS	CC1=C(C=C2C(=C1OC)CNC2=O)O	ICZVDXDXJQCDOJ-UHFFFAOYSA-N	Organic compounds	Organoheterocyclic compounds	Isoindoles and derivatives	Isoindolines	Isoindolones	Isoindole alkaloids	Pseudoalkaloids	Alkaloids	0
BGC0000038_coelimycin P1	Polyketide:Other	T1PKS,butyrolactone	C/C=C/C(=O)/C/1=C/C(=C\2/C=CCCN2)/SC[CH](C(=O)O1)NC(=O)C	RHGMVWUZXGSXCT-UHFFFAOYSA-N	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	N-acyl-alpha amino acids and derivatives			Alkaloids	0
BGC0000039_compactin	Polyketide:	T1PKS	CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12	BOZILQFLQYBIIY-UHFFFAOYSA-N	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	Monacolins and Monacolin derivatives	Cyclic polyketides	Polyketides	0
BGC0000040_concanamycin A	Polyketide:	T1PKS	[H][C@@]1(OC(=O)\C(OC)=C\C(\C)=C\[C@@H](C)[C@@H](O)[C@@H](CC)[C@@H](O)[C@H](C)C\C(C)=C\C=C\[C@@H]1OC)[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O[C@H]2C[C@@H](O)[C@H](OC(N)=O)[C@@H](C)O2)[C@H](C)[C@H](O1)\C=C\C	DJZCTUVALDDONK-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Bafilomycins	Macrolides	Polyketides	1
BGC0000041_oronofacic acid	Polyketide:	T1PKS	[H][C@]12CCC(=O)[C@@]1([H])C[C@@H](CC)C=C2C(O)=O	ONMAUQRMJXNSCG-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	Ketones	Cadinane sesquiterpenoids	Sesquiterpenoids	Terpenoids	0
BGC0000042_cremimycin	Polyketide:	T1PKS	CCCCCCC1CC(=O)CCCC(O)C\C(O)=C2/C(CC(O[C@H]3C[C@H](OC)[C@H](O)[C@@H](C)O3)C2=O)\C=C(/C)\C=C/C=C\C(=O)N1	LWIXNFAKHCDVEC-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	O-glycosyl compounds	Macrolide lactams	Macrolides	Amino acids and Peptides; Polyketides	1
BGC0000043_curacin A	Polyketide:	T1PKS	CO[C@H](CC\C(C)=C\C=C\CC\C=C/[C@H]1CSC(=N1)[C@@H]1C[C@@H]1C)CC=C	LUEYTMPPCOCKBX-UHFFFAOYSA-N	Organic compounds	Organosulfur compounds	Imidothioesters	Imidothiolactones	Imidothiolactones	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000044_dawenol	Polyketide:Polyene	T1PKS	C\C=C/C(/C)=C/C=C/C(/C)=C/C=C/C(/C)=C/C(C)\C=C(/C)C(O)C(C)C(C)OC(C)=O	NJOUGKMJLWWKLH-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	Acyclic diterpenoids	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000045_dehydrocurvularin	Polyketide:	T1PKS	CC1CCC\C=C\C(=O)C2=C(O)C=C(O)C=C2CC(=O)O1	AVIRMQMUBGNCKS-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Zearalenones	Macrolides	Polyketides	0
BGC0000046_depudecin	Polyketide:Other	T1PKS	C[C@@H](O)[C@@H]1O[C@H]1\C=C\[C@@H]1O[C@H]1[C@H](O)C=C	DLVJMFOLJOOWFS-UHFFFAOYSA-N	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	Fatty alcohols	Fatty acyls	Fatty acids	0
BGC0000047_10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin	Polyketide:	T1PKS	C[C@H]1C[C@H](C(=O)CCCC[C@H]([C@H](OC(=O)/C=C/[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)OC)O)C)C)O[C@H]3[C@@H]([C@@H]([C@@H]([C@H](O3)C)O)OC)OC)C	GACUILYHCBCNRP-UHFFFAOYSA-N	Organic compounds	Phenylpropanoids and polyketides	Macrolides and analogues		Macrolides and analogues	Tylosins	Macrolides	Polyketides	1
BGC0000048_dothistromin	Polyketide:	T1PKS	C1[C@@H](O[C@H]2[C@@]1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=CC(=C5C4=O)O)O)O)O	FBPGRTYADYGYRG-UHFFFAOYSA-N	Organic compounds	Benzenoids	Anthracenes	Anthraquinones	Anthraquinones	Anthraquinones and anthrones	Polycyclic aromatic polyketides	Polyketides	1
BGC0000050_E-837	Polyketide:	T1PKS	C\C=C(/C)C(O)C(C)\C=C\C=C(/C)CCC(O)CC1=C(C)C(=O)C(C)(O)O1	OQJGVHFFWCZBBJ-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	Fatty alcohols	Open-chain polyketides	Linear polyketides	Polyketides	1
BGC0000051_ebelactone A	Polyketide:	T1PKS	CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O	WOISDAHQBUYEAF-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	Terpene lactones	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000051_ebelactone B	Polyketide:	T1PKS	CC[C@H]1[C@@H](OC1=O)[C@@H](C)C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@H](C)CC)O)/C	UNBMQQNYLCPCHS-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	Terpene lactones	Open-chain polyketides	Linear polyketides	Polyketides	0
BGC0000052_ECO-02301	Polyketide:	T1PKS	C[C@H](\C=C\CC\C=C\C=C\C=C\C=C\C(=O)NC1=C(O)CCC1=O)C(O)[C@@H](C)C(O)\C=C\C=C\C=C\C=C\C=C\CC(OC1OC(C)C(O)C(O)C1O)C(C)C(=O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CCCN	NLVFTSADLUSKGV-UHFFFAOYSA-N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	Open-chain polyketides	Linear polyketides	Polyketides	1
