bgc id,compound name,smiles,database ids
BGC0000016,Amphotericin B,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,pubchem:5386092
BGC0000017,Anatoxin-a,CC(=O)C1=CCC[C@@H]2CC[C@H]1N2,pubchem:3034748
BGC0000017,Homoanatoxin-a,CCC(=O)C1=CCC[C@@H]2CC[C@H]1N2,pubchem:126727
BGC0000018,angolamycin,CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC,pubchem:6438267
BGC0000019,angolamycin,CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC,pubchem:6438267
BGC0000020,maytansine,C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)[C@H](C)N(C)C(=O)C)C)\C)OC)(NC(=O)O2)O,pubchem:5281828
BGC0000020,Ansamitocin P-3,C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O,
BGC0000021,Apoptolidin,COC[C@@H](C[C@H]1O[C@@](O)([C@H](O)[C@@H]2C[C@H](OC)[C@@H](O)CC\C=C(/C)\C=C\[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)[C@H](C)\C=C(/C)\C=C(/C)\C=C(C)\C(=O)O2)[C@H](C)[C@@H](O)[C@H]1C)O[C@H]1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@H](C)O1,npatlas:13146;pubchem:44403674
BGC0000022,Asperfuranone,CCC(C)C=C(C)C=CC(=O)C1=C2CC(O)C(C)(O)C(=O)C2=CO1,npatlas:10580
BGC0000023,Aurafuron A,CC(C)C\C=C(/C)[C@H](O)[C@H](C)\C=C\C=C/[C@@H](O)CC1=C(C)C(=O)C(C)(O)O1,npatlas:1119
BGC0000024,aureothin,CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2,pubchem:6436188;chemspider:5029106
BGC0000025,avermectin,CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C,pubchem:6858006
BGC0000026,Avilamycin A,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)C1C([C@@]([C@H](O9)C)(C(=O)C)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C,pubchem:122779;chemspider:16735687
BGC0000026,Avilamycin C,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)[C@H]1[C@H]([C@@]([C@H](O9)C)(C(C)O)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C,pubchem:20055307;chemspider:16736581
BGC0000027,Ankaflavin,CCCCCCCC(=O)C1C2CC3=C(COC(\C=C\C)=C3)C(=O)C2(C)OC1=O,npatlas:5638;pubchem:15294091
BGC0000027,Monascin,[H]\C(C)=C(\[H])C1=CC2=C(CO1)C(=O)[C@]1(C)OC(=O)[C@H](C(=O)CCCCC)[C@@]1([H])C2,npatlas:9686;pubchem:12118082
BGC0000027,Rubropunctatine,CCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C,npatlas:17529
BGC0000027,Monascorubrin,CCCCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C,npatlas:2306;pubchem:12118084
BGC0000028,Bafilomycin B1,COC1\C=C\C=C(C)\CC(C)C(O)C(C)\C=C(/C)\C=C(OC)\C(=O)OC1C(C)C(O)C(C)C1(O)CC(OC(=O)\C=C\C(=O)NC2=C(O)CCC2=O)C(C)C(O1)C(C)C,npatlas:2171
BGC0000029,BE-14106,CCC\C=C\CC1C\C=C\C=C(/C)\C=C\C=C/C(O)C(O)\C=C(/C)\C=C\C=C\C(=O)N1,npatlas:17806;pubchem:6439426
BGC0000030,bikaverin,CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C4C(=C3O)C(=O)C=C(C4=O)OC)O)OC,pubchem:5281730
BGC0000031,Borrelidin,[H][C@]1(CCC[C@H]1C(O)=O)[C@]1([H])C\C=C\C=C(C#N)/[C@H](O)[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O1,npatlas:11087
BGC0000032,A23187,[H][C@@](C)(C(=O)C1=CC=CN1)[C@@]1([H])O[C@@]2(CC[C@@H](C)[C@@]([H])(CC3=NC4=C(O3)C=CC(NC)=C4C(O)=O)O2)[C@H](C)C[C@H]1C,npatlas:3386
BGC0000033,calicheamicin,CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@H]([C@@H]([C@H](OC2O[C@H]3C#C/C=C\C#C[C@]\4(CC(=O)C(=C3/C4=C\CSSSC)NC(=O)OC)O)C)NO[C@H]5C[C@@H]([C@@H]([C@H](O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)OC)O)I)C)O)O,pubchem:6438329
BGC0000034,candicidin,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O,pubchem:6445669
BGC0000035,Chalcomycin A,CO[C@@H]1C[C@H](C)O[C@H](OC2C(C)CC(C)(O)C(=O)\C=C\C3OC3C(CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)C(C)OC(=O)\C=C\C2C)[C@H]1O,npatlas:4454
BGC0000036,chlorothricin,C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C(Cl)=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O,
BGC0000036,deschlorothricin,C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O,
BGC0000037,cichorine,CC1=C(C=C2C(=C1OC)CNC2=O)O,pubchem:442849
BGC0000038,coelimycin P1,C/C=C/C(=O)/C/1=C/C(=C\2/C=CCCN2)/SC[CH](C(=O)O1)NC(=O)C,chemspider:27475147
BGC0000039,Compactin,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12,npatlas:18102;pubchem:64715
BGC0000040,Concanamycin A,[H][C@@]1(OC(=O)\C(OC)=C\C(\C)=C\[C@@H](C)[C@@H](O)[C@@H](CC)[C@@H](O)[C@H](C)C\C(C)=C\C=C\[C@@H]1OC)[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O[C@H]2C[C@@H](O)[C@H](OC(N)=O)[C@@H](C)O2)[C@H](C)[C@H](O1)\C=C\C,npatlas:14456;pubchem:6917059
BGC0000041,Oronofacic acid,[H][C@]12CCC(=O)[C@@]1([H])C[C@@H](CC)C=C2C(O)=O,npatlas:13714
BGC0000042,Cremimycin,CCCCCCC1CC(=O)CCCC(O)C\C(O)=C2/C(CC(O[C@H]3C[C@H](OC)[C@H](O)[C@@H](C)O3)C2=O)\C=C(/C)\C=C/C=C\C(=O)N1,npatlas:15915;pubchem:6449106
BGC0000043,Curacin A,CO[C@H](CC\C(C)=C\C=C\CC\C=C/[C@H]1CSC(=N1)[C@@H]1C[C@@H]1C)CC=C,npatlas:3438;pubchem:6438908
BGC0000044,Dawenol,C\C=C/C(/C)=C/C=C/C(/C)=C/C=C/C(/C)=C/C(C)\C=C(/C)C(O)C(C)C(C)OC(C)=O,npatlas:16469
BGC0000045,Dehydrocurvularin,CC1CCC\C=C\C(=O)C2=C(O)C=C(O)C=C2CC(=O)O1,npatlas:4907;pubchem:6438143
BGC0000046,Depudecin,C[C@@H](O)[C@@H]1O[C@H]1\C=C\[C@@H]1O[C@H]1[C@H](O)C=C,npatlas:1465;pubchem:6438725;chebi:64143;chemspider:21169370
BGC0000047,"10,11-Dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin",C[C@H]1C[C@H](C(=O)CCCC[C@H]([C@H](OC(=O)/C=C/[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)OC)O)C)C)O[C@H]3[C@@H]([C@@H]([C@@H]([C@H](O3)C)O)OC)OC)C,pubchem:102274629
BGC0000048,dothistromin,C1[C@@H](O[C@H]2[C@@]1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=CC(=C5C4=O)O)O)O)O,pubchem:108014
BGC0000049,E-492,C\C=C(/C)C(O)C(C)\C=C\C=C\CCC(O)CC1=C(C)C(=O)C(O)(O1)C(C)O,
BGC0000049,E-975,CC\C=C(/C)C(O)C(C)\C=C\C=C\CCC(O)CC1=C(C)C(=O)C(O)(O1)C(C)O,npatlas:13786;pubchem:11509754
BGC0000050,E-837,C\C=C(/C)C(O)C(C)\C=C\C=C(/C)CCC(O)CC1=C(C)C(=O)C(C)(O)O1,npatlas:6280;pubchem:11494615
BGC0000051,ebelactone A,CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O,pubchem:6436820
BGC0000051,ebelactone B,CC[C@H]1[C@@H](OC1=O)[C@@H](C)C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@H](C)CC)O)/C,pubchem:6436821
BGC0000052,ECO-02301,C[C@H](\C=C\CC\C=C\C=C\C=C\C=C\C(=O)NC1=C(O)CCC1=O)C(O)[C@@H](C)C(O)\C=C\C=C\C=C\C=C\C=C\CC(OC1OC(C)C(O)C(O)C1O)C(C)C(=O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CCCN,npatlas:3626;pubchem:23724554
BGC0000053,elaiophylin,CC[C@H]1[C@@H](C[C@](O[C@@H]1C)(O)[C@H]([C@H](O)[C@@H]([C@H]2OC(=O)/C=C/C=C/[C@@H]([C@H](OC(=O)/C=C/C=C/[C@@H]2C)[C@H]([C@@H](O)[C@@H]([C@@]3(O[C@@H]([C@H]([C@@H](C3)O[C@@H]4O[C@H]([C@H]([C@H](C4)O)O)C)CC)C)O)C)C)C)C)C)O[C@@H]5O[C@H]([C@H]([C@H](C5)O)O)C,pubchem:6444206
BGC0000054,erythromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,pubchem:12560
BGC0000055,Erythromycin A,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,pubchem:12560;chebi:42355;chembl:532;chemspider:12041
BGC0000055,Erythromycin B,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,npatlas:15585;pubchem:10702;chebi:28196;chembl:3220708;chemspider:16736538
BGC0000055,Erythromycin C,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,npatlas:9987;pubchem:441095;chebi:64273;chemspider:75735
BGC0000055,Erythromycin D,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C,pubchem:24755489;chebi:28331;chemspider:21864912
BGC0000056,esperamicin,CC1C(C(C(C(O1)OC2C#C/C=C/C#CC\3(C(C(=O)C(=C2/C3=C/CSSSC)NC(=O)OC)OC4CC(C(C(O4)C)O)OC(=O)C5=CC(=C(C=C5NC(=O)C(=C)OC)OC)OC)O)OC6CC(C(CO6)NC(C)C)OC)O)NOC7CC(C(C(O7)C)SC)O,pubchem:71308195
BGC0000057,F9775A,CC1=CC2=C(C(=C1)O)OC3=C(O2)C4(C5C(=CC(=O)C5(C(=O)C4=C(C3=O)O)O)C)C,pubchem:9843671
BGC0000057,F9775B,CC1=CC2=C(C(=C1)O)OC3=C(O2)C(=O)C(=C4C3(C5C(=CC(=O)C5(C4=O)O)C)C)O,pubchem:25235989
BGC0000057,Orsellinic acid,CC1=CC(=CC(=C1C(=O)O)O)O,pubchem:68072
BGC0000058,FD-891,[H][C@]12O[C@@H]1[C@H](O)[C@H](C)\C=C(/C)\C=C(C)\C(=O)O[C@@]([H])(C\C=C\C=C\C[C@H]2O)[C@@H](C)CCC(O)C(C)C(O)C(C)C(C)OC,npatlas:7258;pubchem:6444177
BGC0000059,filipin,CCCCC[C@H]([C@@H]1[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@@H](/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O)O)O)O)O)O)O)O,pubchem:6433194
BGC0000060,fostriecin,C[C@@](/C=C/[C@@H]1CC=CC(=O)O1)([C@@H](C[C@H](/C=C\C=C/C=C/CO)O)OP(=O)(O)O)O,pubchem:6436285
BGC0000061,Levorin A3,C[C@H]1/C=C/C=C/C=C\C=C/C=C/C=C/C=C/[C@@H](C[C@@H]([C@@H]([C@H](CC(=O)C[C@H](C[C@H](C[C@H](CC(=O)CCCC(CC(=O)O[C@@H]1[C@@H](C)C[C@H](C)[C@H](CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)O)C(=O)O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,pubchem:118984420
BGC0000061,C06690,C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC\2CC3C(C(CC(O3)(CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(/C=C/C=C/C=C/C=C/C=C/C=C/C=C2)C)C(C)CC(C)C(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)C(=O)O)O)N)O,pubchem:11953885
BGC0000061,FR-008-III,C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC/2CC3C(C(CC(O3)(CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(/C=C\C=C/C=C\C=C/C=C\C=C/C=C2)C)C(C)CC(C)C(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)C(=O)O)O)N)O,pubchem:101492346
BGC0000061,Candicidin A,C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC2CC3C(C(CC(O3)(CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(C=CC=CC=CC=CC=CC=CC=C2)C)C(C)CC(C)C(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)C(=O)O)O)N)O,pubchem:441142
BGC0000061,UNII-AP5PEF5W7U,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@@H]([C@@H]([C@H](CC(=O)CCC[C@H](CCCC(=O)CC(CC(=O)CC(=O)O[C@@H]1[C@@H](C)C[C@H](C)[C@H](CC(=O)C2=CC=C(C=C2)N)O)O)O)O)C(=O)O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,pubchem:76965088
BGC0000062,Fumonisin B1,CCCC[C@@H](C)[C@@H](OC(=O)C[C@H](CC(O)=O)C(O)=O)[C@H](C[C@@H](C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@H](CC(O)=O)C(O)=O,npatlas:12054
BGC0000063,fumonisin,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,pubchem:3431
BGC0000064,fusarin,C/C=C(/C)\C=C(/C)\C=C(/C)\C=C\C=C(/C)\C(=O)[C@@]12[C@@H](O1)[C@](NC2=O)(CCO)O,pubchem:15942871
BGC0000065,Rustmicin,CC[C@@H]1OC(=O)[C@H](C)C(=O)[C@](O)(CO)C\C(OC)=C\[C@@H](C)CC(=C)\C=C1/C,npatlas:17893
BGC0000066,Geldanamycin,CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](CC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O,npatlas:19914;pubchem:5288382
BGC0000067,geldanamycin,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC,pubchem:5288382
BGC0000068,geldanamycin,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC,pubchem:5288382
BGC0000069,Gephyronic acid,CO[C@@H]([C@H](C)[C@@H](O)CC(O)=O)C(C)(C)C(=O)[C@@H](C)C[C@H](C)[C@H](O)[C@@]1(C)O[C@@H]1[C@@H](C)C=C(C)C,npatlas:1724
BGC0000070,Griseofulvin,COC1=CC(OC)=C(Cl)C2=C1C(=O)C1(O2)[C@H](C)CC(=O)C=C1OC,npatlas:2483;pubchem:441140
BGC0000070,Epidechlorogriseofulvin,COC1=CC(OC)=C2C(OC3(C(C)CC(=O)C=C3OC)C2=O)=C1,npatlas:19749
BGC0000070,norlichexanthone,CC1=CC(=CC2=C1C(=O)C3=C(C=C(C=C3O2)O)O)O,pubchem:5281657
BGC0000070,dehydrogriseofulvin,CC1=CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,pubchem:3082005
BGC0000070,4-desmethylgriseofulvin,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3O)OC)Cl)OC,pubchem:44565921
BGC0000070,Griseoxanthone B,CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C(C=C3O)OC)C)O,pubchem:5359037
BGC0000072,Gulmirecin A,CC=C(C)C1CC=C(C)C(OC2OC(CO)C(O)C2O)C(OC(=O)CC(C)C)C(=O)CC(O)C(C)C(=O)O1,npatlas:955
BGC0000073,Halstoctacosanolide A,CCC(O)C(C)C(O)CC(O)C(O)\C=C(/C)CC(C)C1CC(O)C(C)\C=C\C=C\CC(C)C(=O)CC2CCC(C)C(O)(C\C=C(\C)/C=C(C)/C(O)C(=O)\C=C(C)\C(=O)O1)O2,npatlas:16676
BGC0000074,Herbimycin A,CO[C@H]1C[C@H](C)[C@@H](OC)C2=CC(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1OC)C2=O,npatlas:3301
BGC0000075,Hygrocin A,CCC1CCC(=O)C2=C(O)C(C)=CC3=C2C(=O)C=C(NC(=O)C\C=C(C)\C(=O)O[C@@H](C)[C@@H](O)\C=C\1)C3=O,npatlas:4945;pubchem:5326374
BGC0000075,Hygrocin B,CCC1CCC(=O)C2=C(O)C(C)=CC3=C2C(=O)C2=C(NC(=O)C=C[C@]2(C)C(=O)O[C@@H](C)[C@@H](O)\C=C\1)C3=O,npatlas:11351;pubchem:5326384
BGC0000076,hypothemycin,CC1C/C=C\C(=O)C2C(O2)CC([C@H](C3=CC(=CC(=C3C(=O)O1)O)OC)O)O,pubchem:6474405
BGC0000077,hypothemycin,CC1C/C=C\C(=O)C2C(O2)CC([C@H](C3=CC(=CC(=C3C(=O)O1)O)OC)O)O,pubchem:6474405
BGC0000078,Incednine,CN[C@H]1CC[C@H](O[C@@H]2CO[C@@H](O[C@H]3\C=C/C=C/C(/C)=C/C=C/C(/C)=C/C[C@H](C)NC(=O)\C(OC)=C\C(\C)=C\C=C\C=C\[C@@]3(C)O)[C@H](NC)[C@H]2O)O[C@@H]1C,npatlas:14992
BGC0000079,X-14547,CC[C@H]1CC[C@@H]2[C@@H]1C=C[C@H]([C@H]2C(=O)C3=CC=CN3)/C=C/C=C(\CC)/[C@H]4[C@H](CC[C@@H](O4)[C@@H](C)C(=O)O)C,pubchem:10345604
BGC0000080,Jerangolid A,CC[C@H]1O[C@H](CC=C1C)C(\C)=C\[C@H](C)\C=C\[C@H]1CC(OC)=C(CO)C(=O)O1,npatlas:2932;pubchem:10762085;chemspider:8937404
BGC0000080,jerangolid D,CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2CC(=C(C(=O)O2)C)OC)/C)C,chemspider:17273836
BGC0000081,kedarcidin,CC1C(C(CC(O1)OC\2COC(=O)C(CC3=NC(=C(C=C3)OC4C=C5C#C/C2=C\C#CC6C5(C4OC7CC(C(C(O7)C)O)(C)O)O6)Cl)NC(=O)C8=C(C=C9C=C(C(=C(C9=C8)OC)OC)OC(C)C)O)O)N(C)C,pubchem:6477354
